subject,phase,filter,r_-10s,r_-9s,r_-8s,r_-7s,r_-6s,r_-5s,r_-4s,r_-3s,r_-2s,r_-1s,r_+0s,r_+1s,r_+2s,r_+3s,r_+4s,r_+5s,r_+6s,r_+7s,r_+8s,r_+9s,r_+10s,rhomax,n_windows
1,Pre,filtfilt,-0.10203213344488404,0.3606360312149913,0.7020974944975167,0.7926970800630079,0.5921715517199296,0.16712077531626873,-0.33059046912664747,-0.8209679242332499,-0.7943884666885732,-0.47188465144756697,0.0326729706110375,0.534223274451405,0.8446772049471377,0.8442275857531538,0.28450882685215845,-0.2616897236606139,-0.7125091880068993,-0.8974271046571944,-0.7461824647984228,-0.31640768556806054,0.22819120142253596,0.9005323707239312,512
1,Stim,filtfilt,-0.0641155745335998,0.3912447189930798,0.7328207094005983,0.8202624612048084,0.6034522245628017,0.1478231808753373,-0.3852921974190718,-0.9051652969300144,-0.8679416614655974,-0.5127703587646778,0.033872727252710996,0.5722039309521334,0.9049570461242181,0.9121700301177942,0.35007105543804073,-0.20090102591386172,-0.663550740885215,-0.8771705129246581,-0.7777314845145893,-0.41635366136273105,0.06580307811910893,0.9552095218492942,640
1,Post,filtfilt,0.26298479285313614,0.5304659088904974,0.6746534820391201,0.6192808286773045,0.34890786674640345,-0.07250499728522213,-0.5142215770286944,-0.8846304476106446,-0.7905164090808926,-0.4276423222687659,0.08896157225853486,0.5849414436034981,0.890549758569874,0.9035823544291248,0.4074456286625957,-0.09267532841144882,-0.5347844006972419,-0.7819140098268663,-0.7736895728955429,-0.5388327307409901,-0.17434959386765547,0.9386984016568051,512
2,Pre,filtfilt,0.211975071106598,0.4432437335981724,0.5727784220387983,0.5216428468548902,0.2695426321099268,-0.12163101385995656,-0.5197687929836852,-0.8009733078328074,-0.6460613018394769,-0.24629008290833634,0.25863062684618227,0.680915492128267,0.8606069055419945,0.7315834774131351,0.10639282757077168,-0.36204475374733347,-0.6705983123894357,-0.7219417959314615,-0.5248475939793245,-0.18017786452508047,0.1698954097128462,0.8751871162200993,512
2,Stim,filtfilt,-0.004867688242609658,0.2578794688279613,0.46913687734730275,0.5176063143002451,0.35181653431065407,0.0125378166634583,-0.37605147922277155,-0.7119028756841416,-0.6205659066104258,-0.2865253211956391,0.16749207113723363,0.5673661120972258,0.7597122625965118,0.6747264644346778,0.14077983699751645,-0.2815273160214583,-0.576560139089029,-0.6513519205539099,-0.503528611149131,-0.21157818053180044,0.1059678771635768,0.8051434815397555,640
2,Post,filtfilt,0.4847909153506298,0.770075172498265,0.8178261882535771,0.5941212330469561,0.15885606726085102,-0.34962103913632187,-0.7602208266883348,-0.8997172182083363,-0.6210912860233306,-0.13680034029746868,0.3903561021870301,0.7837830732552304,0.9152609838372314,0.7486159387047452,0.10471416557545632,-0.3707419519263617,-0.7024915887100721,-0.7943314886690346,-0.6350419333629804,-0.29496693350585723,0.10452771414912024,0.9425412348478486,512
3,Pre,filtfilt,-0.3794623427218904,0.07416258145104546,0.5176878007004276,0.7682545888327483,0.7198256421833793,0.3899227382363565,-0.08751400168994161,-0.663434179564001,-0.739148669182053,-0.5331383214902199,-0.14359506833920618,0.2656900446843681,0.5376667281555941,0.5853411765221517,0.28284854003754534,-0.01950713166365281,-0.2631719982296594,-0.3732572318578189,-0.34043850686396704,-0.21030626758173535,-0.05153362215108333,0.7961249833540349,512
3,Stim,filtfilt,0.07718910772403297,0.5278967189061249,0.7971357465239404,0.7726665365807559,0.45321991542408807,-0.04716469137514956,-0.5410461152091706,-0.875543428654099,-0.7011691411530945,-0.266260490644214,0.26520926285145296,0.6940574577647122,0.8626224097998578,0.7139218928119009,0.05983009785001746,-0.4222678256377111,-0.7355903486255471,-0.7743990831088106,-0.5373464695541914,-0.12241601812693781,0.31412463638991417,0.8989578291898379,640
3,Post,filtfilt,-0.09025939204165279,0.4029186680192206,0.7853883025632188,0.9232392017948313,0.7605246305508224,0.34256565711150144,-0.195956679226234,-0.840038994211922,-0.9484402443501937,-0.7434213537071921,-0.2968616109256149,0.23685781804176942,0.6760657098577602,0.8762594222563964,0.6315548524578307,0.20612089027521935,-0.257415231811685,-0.6013717367535554,-0.7202368472246814,-0.5940064114326891,-0.28842170696916647,0.9385193373423051,512
4,Pre,filtfilt,-0.015532306283451798,0.4491961499838418,0.7520770637334893,0.7677792270132471,0.48256438100411947,0.0030041098512261465,-0.484481225082349,-0.8279273582513063,-0.6654294532310034,-0.24523546152534387,0.26739590970256755,0.6721647538625336,0.8136766443809091,0.642076306260849,-0.01637147250397951,-0.47084817820796854,-0.7343616938501958,-0.7146121130101419,-0.4304789896306517,0.0005830541997508265,0.41211948225375966,0.8747114840567958,512
