beat_idx,RRI_ms,SBP_mmHg,PAT_ms
1,721.99999999998,145.462,335.0
2,753.000000000043,148.7122,325.0
3,778.999999999996,150.6653,333.0
4,793.000000000007,150.4211,329.0
5,812.000000000011,148.4985,336.0
6,815.999999999918,145.4773,328.0
7,833.000000000084,143.4479,338.0
8,833.999999999946,141.3574,342.0
9,844.000000000051,139.4196,336.0
10,779.999999999973,135.4218,337.0
11,759.000000000014,132.2784,352.0
12,786.999999999921,136.4746,335.0
13,786.000000000058,140.5029,342.0
14,792.00000000003,143.2343,332.0
15,801.999999999908,144.455,334.0
16,750.0,141.3574,338.0
17,738.000000000056,138.4735,344.0
18,702.999999999974,137.5885,343.0
19,694.000000000073,136.56619999999998,346.0
20,680.999999999927,134.5825,360.0
21,668.999999999983,135.269,348.0
22,728.000000000065,141.26590000000002,339.0
23,746.999999999958,155.5023,327.0
24,826.999999999998,159.3933,320.0
25,889.00000000001,158.63039999999998,325.0
26,922.000000000026,155.3955,332.0
27,903.00000000002,150.5737,340.0
28,896.999999999934,144.2566,340.0
29,884.999999999991,141.571,341.0
30,848.00000000007,140.625,350.0
31,812.999999999989,140.47240000000002,343.0
32,769.000000000005,139.2975,348.0
33,750.999999999976,142.3645,346.0
34,707.99999999997,141.4337,341.0
35,707.99999999997,143.2343,339.0
36,704.000000000065,147.4457,334.0
37,713.999999999942,150.45170000000002,337.0
38,738.000000000056,153.4271,324.0
39,817.000000000007,155.3955,336.0
40,870.000000000005,160.4309,320.0
41,909.999999999969,160.3546,319.0
42,924.999999999954,157.5928,326.0
43,951.000000000022,153.5492,330.0
44,947.99999999998,149.4598,334.0
45,955.00000000004,145.2484,336.0
46,931.00000000004,142.4408,333.0
47,889.999999999986,140.51819999999998,339.0
48,845.000000000028,137.4969,354.0
49,784.999999999968,133.3923,347.0
50,794.999999999959,134.3994,352.0
51,802.000000000021,139.4196,335.0
52,797.000000000025,140.47240000000002,330.0
53,795.999999999935,139.5721,330.0
54,795.000000000073,138.3667,339.0
55,785.999999999945,137.4969,332.0
56,764.999999999986,134.3689,339.0
57,729.000000000042,131.4545,345.0
58,734.000000000037,132.1869,341.0
59,722.999999999957,134.3231,335.0
60,722.999999999957,136.7035,330.0
61,729.000000000042,138.4888,331.0
62,739.000000000033,137.5122,330.0
63,855.999999999994,139.5874,334.0
64,918.000000000007,142.395,322.0
65,927.999999999997,138.61079999999998,341.0
66,914.999999999963,132.37,335.0
67,921.000000000049,127.6398,346.0
68,901.999999999929,123.3673,347.0
69,878.000000000042,122.345,356.0
70,857.999999999948,121.3379,358.0
71,839.000000000056,122.3145,357.0
72,797.000000000025,122.4823,361.0
73,778.00000000002,122.3755,349.0
74,765.999999999963,125.6561,357.0
75,750.999999999976,128.5095,359.0
76,750.999999999976,129.4708,341.0
77,763.000000000033,131.28660000000002,346.0
78,763.000000000033,132.3547,344.0
79,770.999999999958,133.4839,344.0
80,793.999999999982,133.316,344.0
81,883.000000000037,135.34550000000002,333.0
82,903.00000000002,136.4441,334.0
83,910.999999999944,133.4076,330.0
84,884.999999999991,132.5073,343.0
85,881.000000000085,130.4932,346.0
86,862.999999999943,129.36399999999998,353.0
87,793.999999999982,126.5717,365.0
88,729.000000000042,122.4213,355.0
89,721.000000000004,124.3744,364.0
90,689.999999999941,128.3264,349.0
91,677.999999999997,135.284,342.0
92,675.000000000068,143.15800000000002,343.0
93,735.000000000013,152.5879,344.0
94,825.999999999909,160.4614,330.0
95,922.000000000026,163.5284,327.0
96,960.000000000037,162.3688,329.0
97,970.000000000028,157.8827,332.0
98,976.999999999975,150.4211,332.0
99,942.999999999983,142.3187,345.0
100,851.999999999976,132.4615,347.0
101,802.000000000021,126.6785,357.0
102,774.0,127.3193,353.0
