beat_idx,RRI_ms,SBP_mmHg,PAT_ms
1,850.999999999999,126.3885,311.0
2,932.999999999993,128.4332,313.0
3,959.99999999998,130.3711,309.0
4,906.000000000006,130.2948,320.0
5,922.000000000026,130.4016,325.0
6,973.99999999999,133.28549999999998,318.0
7,977.000000000032,135.2539,310.0
8,955.999999999961,134.201,307.0
9,881.000000000029,131.2561,323.0
10,887.999999999977,131.2561,313.0
11,896.999999999991,135.0403,314.0
12,905.00000000003,134.2773,309.0
13,836.999999999989,131.4392,318.0
14,870.99999999998,128.38750000000002,310.0
15,912.000000000035,132.2632,310.0
16,926.999999999965,133.316,311.0
17,884.999999999991,132.2174,304.0
18,803.000000000054,129.31820000000002,307.0
19,776.999999999987,129.2419,319.0
20,762.000000000001,133.316,306.0
21,747.999999999991,136.4899,309.0
22,826.000000000022,136.4899,305.0
23,856.999999999971,136.3983,300.0
24,802.000000000021,133.255,298.0
25,820.99999999997,130.3406,311.0
26,887.000000000001,131.28660000000002,304.0
27,876.000000000033,131.3171,305.0
28,847.999999999957,128.3722,301.0
29,840.000000000032,125.5188,316.0
30,868.999999999972,126.4038,306.0
31,879.000000000019,128.4332,303.0
32,872.000000000014,129.36399999999998,307.0
33,836.999999999989,128.4027,311.0
34,783.999999999991,125.47299999999998,308.0
35,802.000000000021,126.4954,306.0
36,873.999999999967,131.2103,308.0
37,985.999999999991,134.0637,301.0
38,1007.0,134.3079,297.0
39,960.000000000037,130.3101,305.0
40,891.999999999996,125.4425,318.0
41,916.999999999974,125.35099999999998,317.0
42,961.000000000012,128.5095,311.0
43,992.999999999996,129.4098,306.0
44,1033.99999999999,128.418,310.0
45,918.000000000007,125.4425,311.0
46,951.999999999999,123.291,313.0
47,1007.0,126.4038,318.0
48,1049.00000000004,127.3804,311.0
49,977.999999999951,124.2523,314.0
50,889.00000000001,120.2545,310.0
51,918.999999999982,119.2932,315.0
52,1032.00000000004,123.1537,314.0
53,1070.99999999997,126.4648,305.0
54,972.000000000036,125.4578,305.0
55,899.000000000001,122.2992,329.0
56,902.999999999963,121.3379,326.0
57,972.000000000036,126.4648,315.0
58,1046.99999999997,128.54000000000002,302.0
59,1002.99999999999,129.31820000000002,311.0
60,987.000000000023,126.4648,307.0
61,929.000000000031,125.3967,322.0
62,904.999999999972,123.2452,326.0
63,932.000000000017,125.3357,322.0
64,985.999999999991,127.4109,319.0
65,968.000000000018,128.4332,319.0
66,906.999999999982,126.5869,308.0
67,879.000000000019,124.115,334.0
68,929.99999999995,126.2665,319.0
69,995.000000000004,129.4098,320.0
70,1003.00000000004,129.36399999999998,313.0
71,938.999999999964,127.4719,321.0
72,869.000000000028,123.3673,318.0
73,923.999999999978,122.1161,329.0
74,992.999999999996,126.4038,312.0
75,1004.00000000002,127.4719,317.0
76,966.999999999985,126.3885,318.0
77,918.000000000007,122.2382,314.0
78,884.000000000014,119.20170000000002,329.0
79,942.000000000007,121.2006,321.0
80,1014.99999999999,124.09969999999998,307.0
81,978.000000000009,125.412,307.0
82,951.999999999999,123.1842,306.0
83,884.000000000014,120.2087,309.0
84,888.999999999954,119.2627,328.0
85,966.000000000008,122.2534,319.0
86,1021.00000000002,123.23,304.0
87,988.999999999976,121.4142,308.0
88,942.000000000007,118.3167,322.0
89,881.000000000029,113.9679,316.0
90,896.999999999991,113.1897,320.0
91,916.999999999974,116.2262,310.0
92,932.999999999993,120.224,314.0
93,918.000000000007,122.3755,320.0
94,867.000000000018,121.3226,320.0
95,894.000000000006,121.3837,330.0
96,937.000000000012,125.3662,317.0
97,976.0,126.5259,306.0
98,954.000000000007,125.2899,323.0
99,890.999999999962,122.1008,317.0
100,886.000000000024,118.3319,329.0
101,925.999999999987,119.2627,324.0
102,956.000000000017,121.3379,326.0
103,949.999999999988,120.5444,310.0
104,886.000000000024,118.576,315.0
105,862.999999999999,116.4093,319.0
106,916.999999999974,118.3319,314.0
107,930.999999999983,121.2769,315.0
108,812.000000000011,121.3531,322.0
109,763.000000000033,118.3777,322.0
110,853.999999999985,118.515,326.0
111,930.000000000007,123.0927,317.0
112,972.999999999956,126.5106,314.0
113,970.000000000028,127.4261,318.0
114,904.999999999972,125.5493,318.0
115,843.000000000018,123.291,324.0
116,793.000000000007,121.2311,326.0
117,841.000000000008,121.3684,317.0
118,891.000000000019,124.2981,329.0
119,911.999999999978,125.2594,319.0
120,896.999999999991,122.2992,315.0
121,870.000000000005,120.4376,317.0
122,858.99999999998,118.3929,329.0
123,814.000000000021,117.2333,326.0
124,785.000000000025,116.394,329.0
125,800.999999999988,117.3859,320.0
126,838.999999999998,123.2605,304.0
127,935.999999999978,128.20430000000002,311.0
128,973.000000000012,130.5084,310.0
129,947.99999999998,128.5248,303.0
130,865.000000000009,124.176,317.0
131,864.000000000033,122.3145,322.0
132,847.999999999957,124.1913,321.0
133,799.000000000035,123.291,309.0
134,769.000000000005,121.3226,328.0
135,734.999999999957,124.2676,321.0
136,718.999999999994,123.2147,304.0
137,745.000000000004,121.3379,314.0
138,822.000000000002,124.2523,308.0
139,954.000000000007,126.4038,310.0
140,930.999999999983,125.3357,307.0
141,910.000000000025,121.6431,318.0
142,882.999999999982,119.278,317.0
143,838.999999999998,117.4316,324.0
144,781.000000000006,114.1052,316.0
145,766.999999999995,113.2355,324.0
146,783.999999999991,118.34720000000002,319.0
147,830.00000000004,122.3145,311.0
148,872.000000000014,123.3368,302.0
149,889.999999999986,124.2218,308.0
150,887.000000000001,122.2076,319.0
151,844.99999999997,119.339,316.0
152,802.000000000021,116.2415,328.0
153,814.000000000021,117.2638,326.0
154,872.999999999991,121.2311,321.0
155,906.999999999982,125.3204,321.0
156,956.999999999994,124.115,306.0
157,908.000000000015,121.109,319.0
158,837.999999999966,116.3788,330.0
159,833.000000000027,114.151,326.0
160,867.999999999995,118.2556,328.0
161,893.000000000029,122.2229,321.0
162,918.999999999982,125.0458,323.0
163,899.000000000001,125.5493,323.0
164,822.000000000002,123.1537,325.0
165,801.999999999964,120.3156,334.0
166,814.000000000021,123.1079,330.0
167,872.999999999991,125.3052,315.0
168,963.000000000023,128.3112,317.0
169,985.000000000014,128.25009999999995,318.0
170,923.000000000002,124.2523,311.0
171,889.999999999986,119.278,319.0
172,896.000000000015,120.3003,320.0
173,935.000000000002,123.2605,319.0
174,955.999999999961,127.5482,318.0
175,918.000000000007,126.5411,322.0
176,828.000000000031,123.1384,321.0
177,812.999999999989,120.2087,329.0
178,848.000000000013,123.3978,325.0
179,904.999999999972,127.3651,319.0
180,891.000000000019,127.2583,307.0
181,889.999999999986,124.1455,316.0
182,829.999999999984,120.3003,325.0
183,833.000000000027,116.394,320.0
184,882.999999999982,118.3014,327.0
185,947.000000000002,120.2698,319.0
186,947.000000000002,120.4376,312.0
187,915.000000000021,118.3624,318.0
188,839.999999999974,114.1357,330.0
189,829.000000000008,111.3281,325.0
190,875.0,114.1205,316.0
191,978.000000000009,117.3401,310.0
192,1012.0,117.3248,324.0
193,987.999999999999,115.5548,308.0
194,906.999999999982,111.2366,335.0
195,843.000000000018,107.2845,335.0
196,902.999999999963,107.2235,328.0
197,937.000000000012,112.03,328.0
198,934.000000000025,113.0524,321.0
199,925.999999999987,112.1063,320.0
200,858.000000000004,109.2834,328.0
201,887.999999999977,110.27530000000002,329.0
202,956.000000000017,115.4022,323.0
203,1048.99999999998,118.3777,313.0
204,1026.00000000001,118.2556,333.0
205,963.999999999999,115.4785,333.0
206,1014.00000000001,114.1663,344.0
207,1031.00000000001,115.3412,324.0
208,1021.99999999999,114.2426,325.0
209,970.000000000028,111.1603,333.0
210,911.000000000001,108.2611,343.0
211,947.99999999998,109.2834,329.0
212,1010.99999999997,113.1592,327.0
213,1005.00000000005,115.2496,318.0
214,929.99999999995,115.3412,333.0
215,893.000000000029,113.1439,346.0
216,952.999999999975,116.42459999999998,336.0
217,1017.0,121.2311,322.0
218,1019.0,122.2076,322.0
219,932.000000000017,118.20980000000002,325.0
220,899.000000000001,114.1052,332.0
221,942.999999999983,115.448,330.0
222,1003.00000000004,116.28719999999998,327.0
223,1012.0,116.28719999999998,328.0
224,911.999999999978,112.1216,331.0
225,892.999999999972,109.2224,340.0
226,911.000000000001,112.1063,326.0
227,914.000000000044,117.3859,329.0
228,870.000000000005,119.339,324.0
229,802.999999999997,118.4845,331.0
230,846.000000000004,117.2485,330.0
231,917.99999999995,122.1771,316.0
232,956.000000000017,125.5035,318.0
233,901.00000000001,122.3755,316.0
234,835.000000000036,116.4398,328.999999999942
235,843.999999999937,114.1968,325.999999999942
236,867.000000000076,117.3553,325.000000000116
237,865.999999999985,117.4164,327.999999999942
238,832.999999999971,115.3717,320.000000000058
239,784.999999999968,113.0371,322.999999999942
240,791.000000000054,111.145,328.0
241,845.000000000028,115.448,319.999999999884
242,913.999999999987,118.2709,325.999999999884
243,937.999999999987,120.4071,313.000000000058
244,913.000000000011,116.333,308.999999999942
245,852.999999999952,111.1908,324.000000000058
246,863.000000000056,109.1919,326.0
247,894.999999999981,112.2894,328.999999999942
