beat_idx,RRI_ms,SBP_mmHg,PAT_ms
1,788.000000000011,138.5803,306.0
2,837.999999999966,141.6016,370.0
3,870.000000000005,140.5792,362.0
4,802.000000000021,137.6953,305.0
5,817.000000000007,139.5264,300.0
6,805.000000000064,141.6016,299.0
7,796.999999999912,142.3798,300.0
8,768.000000000029,144.5465,288.0
9,933.999999999969,148.59009999999998,357.0
10,802.000000000021,146.7133,300.0
11,954.000000000065,148.6664,364.0
12,802.999999999997,150.4822,296.0
13,814.999999999941,146.8506,376.0
14,821.000000000026,144.5618,373.0
15,802.000000000021,149.5361,369.0
16,856.999999999971,149.4751,374.0
17,860.99999999999,152.45059999999998,304.0
18,822.999999999979,158.6151,286.0
19,878.000000000042,157.77589999999998,373.0
20,1038.99999999999,156.40259999999998,368.0
21,976.999999999975,157.547,294.0
22,888.000000000034,152.5116,306.0
23,1035.99999999994,150.4974,370.0
24,937.999999999987,148.5138,301.0
25,918.000000000007,141.52530000000002,313.0
26,844.000000000051,141.5405,290.0
27,937.000000000012,141.3879,368.0
28,859.000000000037,139.46529999999998,299.0
29,896.999999999934,143.5547,300.0
30,845.000000000028,147.583,298.0
31,901.999999999929,147.5525,371.0
32,1036.00000000006,148.6359,362.0
33,902.000000000043,150.6958,305.0
34,938.999999999964,148.8037,363.0
35,980.000000000019,143.4174,376.0
36,961.000000000012,144.53119999999998,363.0
37,1034.99999999997,140.7013,371.0
38,904.999999999972,138.4888,300.0
39,997.000000000072,139.6484,363.0
40,1015.99999999996,138.61079999999998,366.0
41,824.999999999932,133.5297,324.0
42,920.000000000072,135.5438,376.0
43,997.999999999934,142.3798,372.0
44,840.000000000032,144.42440000000002,298.0
45,976.999999999975,141.6779,371.0
46,902.000000000043,145.5078,297.0
47,1062.00000000001,152.60309999999998,362.0
48,860.000000000014,155.4871,301.0
49,1019.99999999998,159.6069,373.0
50,957.99999999997,164.4592,305.0
51,824.000000000069,162.7502,307.0
52,998.99999999991,161.6516,377.0
53,899.000000000001,163.681,298.0
54,821.000000000026,158.432,307.0
55,885.999999999968,157.6385,370.0
56,930.000000000064,156.5094,372.0
57,784.999999999968,149.5209,298.0
58,860.000000000014,148.6359,370.0
59,897.000000000048,148.6206,362.0
60,820.999999999912,144.2871,308.0
61,762.000000000058,143.5547,304.0
62,877.999999999929,144.3481,369.0
63,746.000000000095,141.5558,297.0
64,913.999999999987,142.3798,364.0
65,823.999999999955,144.4397,294.0
66,741.999999999962,142.4408,306.0
67,896.000000000071,142.6239,362.0
68,840.000000000032,145.3552,294.0
69,764.999999999986,146.637,300.0
70,882.999999999924,149.65820000000002,372.0
71,953.000000000089,154.46470000000002,366.0
72,783.999999999991,152.5726,310.0
73,958.999999999946,151.6571,380.0
74,880.999999999971,152.8778,305.0
75,859.000000000037,149.65820000000002,306.0
76,812.000000000011,147.6135,309.0
77,874.000000000023,148.6053,375.0
78,918.999999999982,145.401,370.0
79,822.999999999979,145.5688,304.0
80,841.000000000008,146.6827,358.0
81,818.99999999996,144.4855,381.0
82,936.000000000035,144.5618,364.0
83,821.000000000026,148.4985,293.0
84,920.999999999936,146.6675,361.0
85,900.000000000091,146.65220000000002,301.0
86,901.999999999929,148.84949999999998,289.0
87,783.999999999991,144.5007,303.0
88,921.000000000049,141.51,374.0
89,799.999999999954,143.56990000000002,304.0
90,822.000000000002,141.6473,383.0
91,914.999999999963,141.6016,376.0
