beat_idx,RRI_ms,SBP_mmHg,PAT_ms
1,668.999999999983,171.386018258435,331.0
2,634.999999999991,169.61412623768598,332.0
3,627.000000000066,164.698375321724,339.0
4,620.999999999981,163.505225291704,324.0
5,616.999999999962,166.66093669628,323.0
6,615.000000000009,167.66510937046098,324.0
7,605.000000000018,169.477963325252,326.0
8,606.999999999971,168.574378013825,316.0
9,629.999999999996,170.372074578018,328.0
10,642.000000000053,172.62735227119802,311.0
11,634.999999999991,170.45845256265,323.0
12,629.999999999996,165.83271390249098,330.0
13,644.999999999982,164.73143621179202,330.0
14,649.000000000001,161.600820185739,323.0
15,652.000000000043,160.637245835752,319.0
16,622.999999999934,156.83573346672398,325.0
17,617.000000000076,152.575901397998,334.0
18,629.999999999996,155.64000984008598,331.0
19,629.999999999996,157.681900014978,324.0
20,616.999999999962,155.817832135103,329.0
21,606.999999999971,156.852564825103,332.0
22,629.999999999996,157.688738101408,332.0
23,629.000000000019,161.729573679277,327.0
24,619.000000000028,159.819550711402,325.0
25,628.000000000043,159.710029086077,333.0
26,651.99999999993,160.805808159316,322.0
27,648.000000000024,161.764629996191,309.0
28,628.000000000043,159.916495084876,327.0
29,637.99999999992,158.876098633646,322.0
30,644.999999999982,159.85020460466902,322.0
31,633.000000000038,160.763532794522,326.0
32,633.000000000038,158.823161259519,327.0
33,646.999999999935,159.99547101752,327.0
34,658.999999999992,160.908743208215,326.0
35,648.000000000024,158.99927749696602,321.0
36,625.999999999976,154.862073505478,330.0
37,628.000000000043,151.777268773793,336.0
38,624.000000000024,153.971764499452,330.0
39,630.999999999972,154.01480173189398,330.0
40,613.000000000056,152.98986086362,329.0
41,599.99999999991,152.742679215683,324.0
42,591.000000000011,155.91343853291198,329.0
43,575.000000000047,157.985137280087,325.0
44,568.99999999996,158.91223617327398,327.0
45,581.000000000019,160.037535153359,325.0
46,589.000000000058,164.29127704957202,328.0
47,625.999999999976,168.178800546443,327.0
48,663.999999999987,173.928669333376,326.0
49,697.999999999979,176.200243420522,322.0
50,658.000000000015,171.926683970682,327.0
51,666.000000000054,165.348221484044,332.0
52,682.999999999992,164.934220257937,327.0
53,687.999999999988,162.033502853183,324.0
54,655.999999999949,157.317409652179,337.0
55,637.000000000057,150.036852017455,334.0
56,637.99999999992,149.057914026566,336.0
57,629.999999999996,150.184637166887,335.0
58,614.000000000033,149.129120756535,335.0
59,606.999999999971,147.173223799216,337.0
60,614.000000000033,150.25244689620502,337.0
61,629.000000000019,157.420850411477,324.0
62,653.00000000002,162.31637885443598,322.0
63,639.00000000001,161.246293547069,330.0
64,652.999999999906,162.29650460140198,317.0
65,679.000000000087,164.461221455369,320.0
