beat_idx,RRI_ms,SBP_mmHg,PAT_ms
1,991.0,126.5106,324.0
2,969.000000000001,127.5482,331.0
3,971.000000000001,130.4932,340.0
4,983.999999999999,135.45229999999998,333.0
5,984.999999999999,137.8174,330.0
6,940.000000000001,133.4839,325.0
7,983.999999999999,138.54979999999998,328.0
8,959.000000000001,140.73180000000002,324.0
9,895.0,138.7787,363.0
10,927.999999999999,140.5029,357.0
11,1018.0,149.7192,338.0
12,1013.0,150.6195,337.0
13,984.999999999999,146.698,339.0
14,955.000000000001,138.5803,347.0
15,978.000000000002,139.5874,335.000000000002
16,991.0,141.4795,343.0
17,995.000000000001,142.395,325.0
18,936.0,136.61190000000002,338.0
19,949.999999999999,137.6648,333.0
20,976.0,143.56990000000002,332.0
21,1024.0,144.5465,345.0
22,1033.0,142.5781,349.0
23,975.000000000002,137.558,342.0
24,990.000000000002,134.491,342.0
25,1002.0,137.6953,340.0
26,989.000000000001,138.5193,334.0
27,969.999999999998,136.5204,341.0
28,969.999999999998,142.5781,338.0
29,972.000000000001,144.42440000000002,334.0
30,915.0,140.5945,346.0
31,932.000000000003,140.5334,335.0
32,976.0,144.4397,330.0
33,983.0,145.3247,444.0
34,993.000000000002,145.3247,330.0
35,984.999999999999,145.2484,339.0
36,915.999999999996,139.5874,338.0
37,860.999999999997,141.4032,337.0
38,941.000000000002,140.686,329.0
39,963.000000000001,139.5264,336.0
40,985.999999999997,140.4572,326.0
41,973.000000000006,136.71869999999998,337.0
42,941.999999999994,131.4697,332.0
43,951.000000000001,135.3302,323.0
44,956.000000000004,139.4806,319.0
45,960.999999999998,138.6566,331.0
46,942.999999999998,134.3536,343.0
47,935.000000000002,141.4337,330.0
48,944.000000000003,143.4479,326.0
49,948.0,145.3094,335.0
50,928.999999999995,143.3716,332.0
51,879.000000000005,138.54979999999998,367.0
52,911.999999999999,139.5569,348.0
53,942.999999999998,144.3939,343.0
54,972.000000000001,149.5819,328.0
55,978.999999999999,149.39880000000002,326.0
56,977.000000000004,145.5536,325.0
57,942.0,137.4969,330.0
58,966.999999999999,140.51819999999998,334.0
59,964.999999999997,142.6544,340.0
60,957.000000000001,145.4468,364.0
61,990.000000000002,143.631,325.0
62,970.999999999996,143.4174,319.0
63,989.000000000004,143.56990000000002,324.0
64,976.999999999997,141.52530000000002,328.0
65,963.000000000001,141.3574,337.0
66,960.000000000001,133.4381,327.0
67,924.999999999997,134.5215,340.999999999985
68,933.999999999998,139.5264,334.000000000007
69,931.000000000012,140.47240000000002,326.0
70,917.999999999992,140.3961,338.0
71,884.0,142.5171,333.0
72,900.000000000006,146.6217,347.0
73,860.99999999999,145.401,336.0
74,879.000000000005,146.8048,350.0
75,896.0,150.6653,336.0
76,947.999999999993,151.3977,340.0
77,949.000000000012,151.6113,425.0
78,973.0,146.5759,336.0
79,956.999999999994,140.4877,352.0
80,984.999999999999,142.4255,333.0
81,998.000000000005,136.4899,331.0
82,966.999999999999,137.5122,339.0
83,956.000000000004,135.2844,326.0
84,924.999999999997,131.3477,328.0
85,932.999999999993,136.61190000000002,335.0
86,952.000000000012,135.34550000000002,329.0
87,886.999999999987,133.6212,327.0
88,926.000000000002,134.3842,339.0
89,978.000000000009,138.6719,331.0
90,1017.0,140.4266,332.0
91,1001.99999999999,136.56619999999998,337.0
92,1034.00000000001,136.6425,345.0
93,1050.0,138.855,341.0
94,1031.00000000001,135.437,337.0
95,1020.0,131.4392,344.0
96,1041.0,134.3994,330.0
97,1023.00000000001,135.4675,355.0
98,967.999999999989,134.491,343.0
99,918.999999999996,129.4403,357.0
100,940.000000000013,135.5438,350.0
101,973.99999999999,140.7471,350.0
102,974.000000000004,140.51819999999998,332.0
103,962.000000000003,135.376,348.0
104,1005.0,139.66369999999998,350.0
105,1020.0,141.6626,335.0
106,1007.0,137.7106,354.0
107,1020.0,135.5286,360.0
108,1049.00000000001,137.68009999999998,335.0
109,1028.00000000001,136.5967,343.0
110,1048.99999999999,135.4828,341.0
111,1023.0,133.4839,346.0
112,1038.00000000001,134.5062,334.0
113,1047.0,141.52530000000002,342.0
114,1000.99999999999,142.4866,344.0
115,1012.0,140.6097,353.0
116,1014.00000000001,146.7438,352.0
117,1024.99999999999,147.7814,370.0
118,1038.00000000001,143.7073,356.0
119,1023.99999999999,137.5885,336.0
120,963.000000000009,131.6223,361.0
