beat_idx,RRI_ms,SBP_mmHg,PAT_ms
1,700.999999999965,147.27779999999998,341.0
2,734.000000000037,151.5045,343.0
3,752.000000000009,155.28869999999998,336.0
4,811.999999999956,158.4473,326.0
5,882.000000000005,160.4614,331.0
6,891.000000000019,164.21509999999998,330.0
7,915.999999999996,162.5214,333.0
8,925.000000000011,160.4462,335.0
9,909.999999999969,156.2958,338.0
10,831.999999999993,150.4669,346.0
11,799.000000000035,142.334,353.0
12,771.000000000015,142.0288,347.0
13,755.999999999972,141.3422,342.0
14,716.000000000008,140.3503,349.0
15,752.999999999986,142.3035,342.0
16,752.999999999986,145.34,334.0
17,819.000000000017,150.4211,328.0
18,864.000000000033,151.2299,327.0
19,861.999999999966,147.3694,321.0
20,877.999999999986,143.3716,327.0
21,845.000000000028,141.3879,328.0
22,817.000000000007,137.39010000000002,338.0
23,767.999999999972,131.4545,342.0
24,737.000000000023,131.2103,353.0
25,695.99999999997,132.1411,334.0
26,686.000000000036,133.3313,339.0
27,663.999999999987,131.317,338.0
28,704.999999999984,132.5073,327.0
29,724.000000000046,145.1569,325.0
30,761.999999999943,150.51270000000002,320.0
31,790.000000000021,155.28869999999998,316.0
32,823.000000000036,156.4636,326.0
33,826.999999999998,156.189,327.0
34,829.999999999984,153.3966,330.0
35,826.999999999998,152.5269,339.0
36,790.999999999997,149.5514,336.0
37,772.999999999968,147.47619999999998,340.0
38,789.000000000044,149.6124,333.0
39,822.999999999979,153.4424,326.0
40,870.000000000005,155.3802,324.0
41,891.000000000019,154.3579,331.0
42,906.000000000006,151.4893,329.0
43,919.99999999996,147.47619999999998,339.0
44,935.000000000002,144.4702,335.0
45,934.000000000025,141.4337,341.0
46,920.999999999992,139.5874,337.0
47,894.999999999981,137.3291,344.0
48,889.00000000001,136.5204,341.0
49,858.000000000004,135.2997,348.0
50,846.000000000004,136.3983,344.0
51,814.999999999998,135.3607,348.0
52,778.999999999996,133.316,345.0
53,740.000000000009,133.45340000000002,346.0
54,778.999999999996,134.33839999999998,340.0
55,790.000000000021,137.5732,337.0
56,825.999999999965,140.4877,334.0
57,855.999999999994,140.4419,329.0
58,862.999999999999,138.6414,321.0
59,869.000000000028,136.5814,341.0
60,858.99999999998,133.3313,334.0
61,841.000000000008,131.424,344.0
62,817.999999999984,129.42499999999998,337.0
63,771.999999999991,125.5646,352.0
64,762.000000000001,125.2136,346.0
65,753.000000000043,127.5024,346.0
66,778.999999999996,131.2256,341.0
67,801.999999999964,133.4686,340.0
68,822.000000000002,133.45340000000002,327.0
69,838.000000000022,133.1482,338.0
70,843.000000000018,130.4474,330.0
71,806.999999999959,126.5869,347.0
72,788.000000000011,121.3074,357.0
73,804.00000000003,121.521,351.0
74,829.999999999984,125.5341,333.0
75,839.999999999974,127.6245,348.0
76,834.000000000003,127.6398,346.0
77,828.000000000031,125.5951,331.0
78,782.999999999959,123.3215,351.0
79,772.000000000048,120.2545,365.0
80,778.999999999996,121.4294,347.0
81,800.999999999988,125.6104,354.0
82,817.000000000007,128.38750000000002,340.0
83,829.999999999984,129.3793,345.0
84,836.999999999989,129.57760000000002,338.0
85,805.999999999983,127.3499,348.0
86,762.000000000001,122.406,346.0
87,762.000000000001,122.2839,358.0
88,750.0,125.412,347.0
89,779.000000000053,127.3041,339.0
90,757.999999999982,124.115,338.0
91,757.999999999982,116.4703,357.0
92,728.999999999985,116.4703,347.0
93,725.999999999999,116.333,356.0
94,692.000000000007,119.3085,350.0
95,686.000000000036,118.698,344.0
96,766.999999999995,123.1384,346.0
97,757.000000000005,131.2256,330.0
98,769.000000000005,131.3629,338.0
99,754.999999999995,129.4556,343.0
100,745.999999999981,125.4883,342.0
101,737.000000000023,122.2992,350.0
102,724.999999999966,120.285,351.0
103,698.000000000036,118.3014,342.0
104,693.99999999996,121.2158,348.0
105,681.00000000004,125.244,339.0
106,677.999999999997,131.3782,342.0
107,683.999999999969,134.27700000000002,336.0
108,711.000000000013,137.5427,330.0
109,781.999999999982,143.3868,337.0
110,823.000000000036,146.4539,325.0
111,840.999999999952,145.2484,326.0
112,860.000000000014,142.3798,331.0
113,855.999999999994,138.4735,343.0
114,854.000000000041,134.2621,336.0
115,798.999999999978,129.56240000000005,347.0
116,771.999999999991,124.3134,338.0
117,776.000000000011,126.3275,348.0
118,771.000000000015,130.3406,340.0
119,774.0,134.4604,341.0
120,789.999999999964,135.2234,339.0
121,780.00000000003,136.5051,334.0
122,779.999999999973,136.5051,331.0
123,794.000000000039,136.5051,340.0
124,792.99999999995,135.23860000000002,334.0
125,787.000000000035,134.4299,336.0
126,822.000000000002,133.316,343.0
127,812.000000000011,133.28549999999998,332.0
128,806.999999999959,132.3547,339.0
129,769.000000000005,131.4392,345.0
130,778.00000000002,131.3019,340.0
131,783.000000000016,132.1564,341.0
132,793.999999999982,134.33839999999998,330.0
133,778.00000000002,137.5732,337.0
134,744.999999999948,134.33839999999998,348.0
135,752.000000000009,135.5743,337.0
136,770.000000000039,137.5885,338.0
137,799.999999999954,140.4266,330.0
138,814.999999999998,140.6403,336.0
139,846.000000000004,138.45829999999998,340.0
140,805.000000000007,134.4147,344.0
141,786.000000000001,129.42499999999998,349.0
142,843.000000000018,130.249,341.0
143,838.999999999998,133.3008,334.0
144,833.000000000027,131.28660000000002,331.0
145,773.999999999944,128.4027,347.0
146,748.000000000048,124.2828,350.0
147,748.999999999967,126.5259,355.0
148,778.00000000002,131.4392,344.0
149,793.000000000007,136.30679999999998,329.0
150,801.999999999964,136.5967,328.0
151,819.000000000017,134.3842,342.0
152,775.000000000034,130.43210000000002,352.0
153,793.999999999982,127.6703,348.0
154,807.999999999993,129.4708,346.0
155,776.999999999987,127.5177,339.0
156,697.000000000003,121.1548,349.0
157,692.000000000007,119.2474,362.0
158,682.000000000016,121.887,352.0
159,742.999999999995,129.36399999999998,344.0
160,728.000000000009,137.5122,319.0
161,728.999999999985,141.3422,338.0
162,750.0,144.4702,336.0
163,766.999999999995,146.5149,335.0
164,764.999999999986,144.2566,344.0
165,723.000000000013,138.45829999999998,341.0
166,750.0,136.61190000000002,358.0
167,750.999999999976,140.3809,347.0
168,746.000000000038,141.6931,335.0
